Episode number,Episode reward,Steps
1,220.0,634
2,150.0,1237
3,260.0,1855
4,190.0,2444
5,140.0,2927
6,230.0,3502
7,300.0,4140
8,180.0,4735
9,260.0,5401
10,250.0,6057
11,150.0,6520
12,170.0,7071
13,190.0,7557
14,130.0,7977
15,230.0,8516
16,320.0,9246
17,220.0,9874
18,260.0,10563
19,220.0,11278
20,130.0,11779
21,140.0,12332
22,190.0,12925
23,340.0,13755
24,400.0,14534
25,230.0,15071
26,350.0,15731
27,210.0,16273
28,280.0,16839
29,240.0,17459
30,720.0,18482
31,280.0,19084
32,260.0,19638
33,270.0,20186
34,220.0,20718
35,230.0,21250
36,300.0,21968
37,520.0,22882
38,260.0,23339
39,470.0,24230
40,840.0,25279
41,240.0,25862
42,910.0,26793
43,380.0,27813
44,270.0,28368
45,480.0,29392
46,1240.0,30254
47,380.0,30760
48,310.0,31387
49,430.0,32500
50,440.0,33202
51,520.0,33798
52,440.0,34351
53,710.0,35069
54,770.0,35818
55,280.0,36312
56,280.0,36804
57,440.0,37333
58,380.0,37857
59,550.0,39002
60,480.0,39594
61,740.0,40356
62,530.0,41049
63,1030.0,41795
64,650.0,42682
65,640.0,43381
66,310.0,44294
67,600.0,44927
68,160.0,45272
69,620.0,46241
70,320.0,46914
71,330.0,47436
72,670.0,48361
73,840.0,49357
74,490.0,50055
75,360.0,50528
76,1220.0,51367
77,230.0,51932
78,730.0,52747
79,520.0,53471
80,710.0,54152
81,1110.0,55206
82,640.0,55844
83,730.0,56851
84,360.0,57402
85,750.0,58176
