Steps,Episode number,Episode reward
678,1,240.0
1178,2,90.0
1818,3,170.0
2356,4,210.0
3020,5,200.0
3608,6,190.0
4392,7,230.0
5081,8,200.0
5781,9,150.0
6723,10,460.0
7415,11,270.0
8105,12,240.0
8676,13,190.0
9303,14,260.0
9624,15,50.0
10175,16,160.0
11008,17,320.0
11549,18,150.0
12160,19,190.0
12888,20,260.0
13739,21,510.0
14320,22,250.0
15201,23,410.0
16051,24,850.0
16795,25,390.0
17174,26,180.0
17479,27,60.0
18521,28,910.0
19196,29,620.0
19903,30,480.0
20415,31,390.0
21131,32,520.0
21905,33,430.0
22471,34,470.0
23542,35,950.0
24304,36,300.0
24844,37,320.0
25451,38,530.0
26161,39,490.0
26844,40,330.0
27387,41,300.0
28315,42,650.0
29459,43,1550.0
30030,44,400.0
30601,45,300.0
31672,46,690.0
32321,47,530.0
33104,48,750.0
33919,49,740.0
35377,50,1030.0
35964,51,500.0
36480,52,390.0
37374,53,690.0
38245,54,610.0
39683,55,780.0
40236,56,340.0
40918,57,440.0
41498,58,420.0
42260,59,670.0
42819,60,460.0
43493,61,310.0
44426,62,880.0
45137,63,460.0
45527,64,240.0
46296,65,650.0
46877,66,360.0
47384,67,300.0
48217,68,490.0
49027,69,370.0
49682,70,430.0
50302,71,320.0
50842,72,210.0
51478,73,580.0
52293,74,690.0
53220,75,540.0
54212,76,930.0
